text,labels,label_vector
"Book traversal links for Human Papillomavirus (HPV)
 
Hepatitis C Frequently Asked Questions",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Page-start
 
Immunizations: Human Papillomavirus (HPV) Vaccine and HPV-Related Cancers",['Cause of Cancer'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Page-start
 
Vaccines for Children (VFC) Program - Information for Providers",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Immunizations: Human Papillomavirus (HPV) Vaccine and HPV-Related Cancers
 
There are more than 150 types of HPV.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"A vaccine can prevent HPV and HPV-related cancers
 
Other types of cancers related to HPV.","['Cancer Prevention', 'Cause of Cancer', 'Prevent Spread']","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"A vaccine can prevent HPV and HPV-related cancers
 
Infection with HPV can lead to these types of cancers later in life.","['Cancer Prevention', 'Cause of Cancer', 'Prevent Spread']","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"A vaccine can prevent HPV and HPV-related cancers
 
Do you want to protect your loved ones from getting the HPV infection? Do you want to prevent them from getting cancer related to HPV in the future? Then talk about it!","['Cancer Prevention', 'Cause of Cancer', 'Prevent Spread']","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"How it spreads
 
HPV is a highly contagious infection. It’s common in the United States. Millions of Americans, including teens, become infected each year. Nearly everyone will get HPV at some point in their lives.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"How it spreads
 
Because HPV is so common, you can be exposed to it easily without knowing.",['Asymptomatic'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Signs and symptoms
 
Some types of HPV infections cause warts. Other types can cause cancers of the:",['Cause of Cancer'],"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Signs and symptoms
 
It usually takes years after being infected with HPV for cancer to develop.","['Asymptomatic', 'Cause of Cancer']","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Treatment
 
There is no treatment for the virus itself. However, there may be treatments for the health problems caused by HPV.",['No Cure'],"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Treatment
 
Most HPV infections go away by themselves within two years.",['Asymptomatic'],"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Prevention
 
Some adults ages 27–45 years who aren’t already vaccinated might choose to get the HPV vaccine. Talk to a doctor about the risk of new HPV infections and possible benefits of vaccination. HPV vaccination of adults provides less benefit, because more people in this age range have already been exposed to HPV.",['Stance-Optional'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"Prevention
 
Early protection works best. That’s why HPV vaccine is recommended earlier rather than later. It protects your child long before they ever have contact with the virus.","['Prevent Spread', 'Rec-Children', 'Stance-Recommend']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]"
"Prevention
 
Find out if your children are protected against HPV and its related cancers. Check our Department of Health Services (DHS)Wisconsin Immunization Registry. If your teen isn’t vaccinated yet, talk to their doctor about getting the vaccine as soon as possible.","['Cancer Prevention', 'Prevent Spread', 'Rec-Children', 'Source Credibility']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
"Prevention
 
If you’re worried about cost, your family may be eligible for free vaccines. Read about ourVaccines For ChildrenandVaccines For Adultsprograms.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Regular cervical cancer screening
 
The HPV test looks for the virus that can cause these cell changes.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Condoms and dental dams
 
Using condoms and dental dams correctly and consistently can lower the chance that HPV is passed from one person to another.",['Sexual Spread'],"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Alcohol and tobacco
 
We don’t know yet if having HPV alone is enough to cause cancer in the back of the throat. This is called oropharyngeal cancer. Alcohol and tobacco products may contribute to oropharyngeal cancers. Don’t smoke or use smokeless tobacco products, and avoid smoke from other people’s cigarettes. Free help is available through ourTobacco Prevention and Control Program: Help to Quit.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Vaccine safety
 
All vaccines, especially HPV, are carefully studied before they are available to the public. The CDC and the Food and Drug Administration continue to monitor vaccines after they are approved. To understand how vaccines are developed, read theJourney of Your Child’s Vaccine.",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Vaccine safety
 
These are normal and are caused by our immune systems. These reactions are our bodies’ way of jumping into action and building protection. For example, fevers are a common tool our immune systems use to fight back against viruses. A lot of viruses and bacteria can’t survive at high temperatures. After vaccination, our bodies practice how to fight the real virus.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Resources
 
DHS disease fact sheet—HPV(available in English, Spanish and Hmong)",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Resources
 
DHS—Vaccines Recommended at Ages 11–12: What Parents Should Know, P-90022",['Rec-Children'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Resources
 
Wisconsin Cancer Council infographic—Protecting Wisconsin Youth from HPV-related Cancers(PDF)",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Public health guidelines
 
CDC recommendation from the Advisory Committee on Immunization Practices (ACIP)—Human Papillomavirus (HPV) ACIP Vaccine Recommendations",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Provider resources
 
We offer links to a wealth of resources to help you make a strong recommendation for the HPV vaccine.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Provider resources
 
CDC Epidemiology and Prevention of Vaccine-Preventable Diseases pink book—Human Papillomavirus(PDF)",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Provider resources
 
American Academy of Pediatrics—HPV Vaccine Recommendations","['Rec-Male Femle', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
"Provider resources
 
American Congress of Obstetricians and Gynecologists—HPV overview",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Webinars
 
Vanderbilt Health—HPV, Throat Cancer and Viruses",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Webinars
 
Emory University—Addressing HPV Vaccine Hesitancy and Mythsby Dr. Robert Bednarczyk",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Webinars
 
Mayo Clinic Health System recorded session—The C.A.S.E Approach to HPV Vaccine Hesitancyby Dr. Robert Jacobson",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"Illness and Disease A to Z
 
Human Papillomavirus (HPV)Questions and Answers about HPV (Human Papillomavirus) and HPV Vaccine",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Illness and Disease A to Z
 
Questions and Answers about HPV (Human Papillomavirus) and HPV Vaccine",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papillomavirus (HPV)
 
HPV vaccine is cancer prevention",['Cancer Prevention'],"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papillomavirus (HPV)
 
Parents: Did you know you have the power to protect your kids from certain cancers?","['Cancer Prevention', 'Rec-Children']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Human Papillomavirus (HPV)
 
Tweens, Teens, and Young Adults: Protect yourself against cancer-causing HPV infections","['Cause of Cancer', 'Rec-Children']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Human Papillomavirus (HPV)
 
HPV vaccine for adults age 27 to 45 years",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papillomavirus (HPV)
 
HPV vaccine requirements in Washington",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papillomavirus (HPV)
 
HPV information for healthcare providers and public health agencies",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV vaccine is available at no cost to adolescents less than 19 years of age
 
The Washington StateChildhood Vaccine Programprovides all recommended vaccines at no cost for children through age 18, and they're available from healthcare providers across the state. Healthcare providers may charge an office visit fee and an administration fee for the vaccine. However, if you cannot afford the administration fee, you may ask your provider to waive it. And most health insurance plans cover the vaccine for adults who are in the recommended age range.",['Rec-Children'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Parents: Did you know you have the power to protect your kids from certain cancers?
 
Parents and guardians have an important role in protecting adolescents from HPV. Talk with your child's doctor or nurse about the HPV vaccine.HPV vaccine is cancer prevention.HPV vaccines are safe and highly effective in preventing infection with the types of HPV they target when given before any exposure to the virus. Make an appointment today to protect your child from several cancers caused by HPV.","['Cancer Prevention', 'Cause of Cancer', 'Prevent Spread', 'Highly Effective', 'Rec-Children', 'Stance-Recommend']","[0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0]"
"Parents: Did you know you have the power to protect your kids from certain cancers?
 
HPV vaccine: Long-Lasting Cancer Protection (PDF)Spanish (PDF)","['Cancer Prevention', 'Rec-Children']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Parents: Did you know you have the power to protect your kids from certain cancers?
 
HPV information for parents(Centers for Disease Control and Prevention)","['Cancer Prevention', 'Prevent Spread', 'Rec-Children', 'Source Credibility']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
"Parents: Did you know you have the power to protect your kids from certain cancers?
 
Vaccine (shot) for Human Papillomavirus(CDC)","['Rec-Children', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
"Parents: Did you know you have the power to protect your kids from certain cancers?
 
Hear from a Survivor:A young mom experienced cervical cancer and her world turned upside down.Listen to this 2-minute podcast to learn what she's doing to protect her kids from HPV-related cancers.","['Cause of Cervical Cancer', 'Cause of Cancer', 'Rec-Children']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Tweens, Teens, and Young Adults: Protect yourself against cancer-causing HPV infections
 
If you are age 9 to 26, protect yourself against several cancers and genital warts by getting the HPV vaccine.Listen to a 2-minute podcast about how the HPV vaccine prevents cancer.","['Cancer Prevention', 'Cause of Cancer', 'Prevent Spread', 'Rec-Children', 'Stance-Recommend']","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0]"
"Tweens, Teens, and Young Adults: Protect yourself against cancer-causing HPV infections
 
HPV vaccine for preteens and teens(Teens Health from Nemours Foundation)","['Cause of Cancer', 'Rec-Children', 'Source Credibility']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
"Tweens, Teens, and Young Adults: Protect yourself against cancer-causing HPV infections
 
Vaccine (shot) for Human Papillomavirus(CDC)","['Cause of Cancer', 'Prevent Spread', 'Source Credibility']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
"Tweens, Teens, and Young Adults: Protect yourself against cancer-causing HPV infections
 
HPV information for young women(CDC)","['Cause of Cancer', 'Prevent Spread', 'Source Credibility']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]"
"Tweens, Teens, and Young Adults: Protect yourself against cancer-causing HPV infections
 
HPV at a glance(Planned Parenthood)","['Cancer Prevention', 'Cause of Cancer', 'Source Credibility']","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"LGBT+ Resources
 
HPV and cancer information for LGBT people(National LGBT Cancer Network)",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"HPV Vaccine Schedule
 
Anyone may get the HPV vaccine at age 11 or 12 years, or as early as 9 years. CDC also recommends vaccination through age 26 for everyone. Anyone age 27 through 45 may get the HPV vaccine after having a discussion with their healthcare provider.","['Rec-Children', 'Stance-Optional', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1]"
"HPV Vaccine Schedule
 
You need all recommended doses for full protection. The vaccine is more effective and usually requires fewer doses when given at younger ages. The number of doses (2 or 3) you need depends on the age you start the series and whether or not you have a weakened immune system. Talk to your healthcare provider about which doses you or your child may need.","['Number Doses', 'Rec-Children']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
"HPV Vaccine Requirements in Washington
 
HPV vaccination is not required to attend public K-12 schools in Washington, but you can ask for it at the same time as therequired school vaccinesare being given.","['Rec-Children', 'Stance-Optional']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0]"
"More HPV Information
 
Vaccine Information Statement for HPV vaccine(CDC)",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"HPV Information for Healthcare Providers
 
This page contains e-learning courses, recommendation information, resources for your practice and your patients, and more.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV (Human Papillomavirus) Vaccine
 
In most cases, HPV goes away on its own and does not cause serious health problems. When HPV does not go away, it can be dangerous. The health problems it can cause include genital warts andcancersof thecervix, vulva, vagina, penis, anus, and throat.","['Asymptomatic', 'Cause of Cervical Cancer', 'Cause of Cancer']","[1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV (Human Papillomavirus) Vaccine
 
HPV is spread through genital contact. Males and females  can spread HPV   without engaging in sexual intercourse. However, it is most commonly   spread through oral, vaginal, or anal sex. HPV can be spread even when   an infected person has no signs or symptoms.","['Asymptomatic', 'Sexual Spread']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Get vaccinated, or make sure that your children are vaccinated
 
HPV vaccine is available through doctors and at school-based clinics throughVaccinate Before You Graduate. Boys and girls should start the HPV vaccine series at 11 or 12 years old.  HPV vaccine is given in three shots over six months. It is important that all three doses are given. HPV vaccine issafe and effective.","['Number Doses', 'Rec-Children', 'Rec-Male Femle', 'Stance-Recommend']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
"Get vaccinated, or make sure that your children are vaccinated
 
HPV vaccination provides the most benefit when given before a person is exposed to any HPV. This is why CDC recommends HPV vaccination at age 11–12 years. HPV vaccination is also recommended through age 26 years for everyone who did not get vaccinated when they were younger.","['Rec-Children', 'Stance-Recommend', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]"
"Get vaccinated, or make sure that your children are vaccinated
 
Vaccination is not recommended for everyone older than age 26 years. In general, HPV vaccination of people in this age range provides minimal benefit because most people have been exposed to HPV already. However, some adults aged 27–45 years who are not adequately vaccinated might be at risk for new HPV infection and might benefit from vaccination.","['Prevent Spread', 'Rec-Children']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"Get vaccinated, or make sure that your children are vaccinated
 
For adults who are 27–45 years old, clinicians can consider discussing HPV vaccination with people who are most likely to benefit. For more details, seeHuman Papillomavirus Vaccination for Adults: Updated Recommendations of the Advisory Committee on Immunization Practices | MMWR (cdc.gov).","['Rec-Children', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
"Get vaccinated, or make sure that your children are vaccinated
 
HPV vaccination prevents new HPV infections but does not treat existing infections or diseases.","['Prevent Spread', 'Rec-Children']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
"Supplying HPV Vaccine
 
The Office of Immunization supplies HPV vaccine to healthcare providers throughout Rhode Island. Additionally, the Office of Immunization partners with the Wellness Company to make HPV vaccine available at school-based clinics throughVaccinate Before You Graduate.",['Rec-Children'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
"Including HPV Vaccination in School Immunization Regulations
 
Rhode Island students arerequiredto  begin the HPV vaccine series before 7th grade entry. HPV vaccination is recommended by the Centers for Disease Control and Prevention (CDC). Rhode Island incorporates allCDC routinely recommended vaccinesinto its school immunization regulations.","['Rec-Children', 'Source Credibility']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]"
"Including HPV Vaccination in School Immunization Regulations
 
If a child cannot be vaccinated against a disease for religious or medical reasons, that child can be exempted from immunization against that disease. Religious exemption forms can be obtained from a school nurse. Medical exemption forms are given by doctors. (Exemption forms can be orderedonlineby healthcare providers.)",['Stance-Optional'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"HPV Information for Providers
 
What is HPV?Human papillomavirus (HPV) is a virus that infects the skin, genital area and lining of the cervix. It is spread during unprotected sex with an infected partner. There are many different types of papillomaviruses (about 100). Some types cause warts on the skin, some types cause warts in the anal and genital areas, and some types cause cancer.","['Sexual Spread', 'Cause of Cervical Cancer', 'Cause of Cancer']","[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV Information for Providers
 
How common is HPV?HPV is the most common sexually transmitted infection in the United States. HPV is so common that nearly all sexually active men and women will get at least one type of HPV at some point in their lives. Most people never know they have been infected and may spread it to a partner without knowing it. About 79 million Americans are currently infected with HPV, and about 14 million people are newly infected each year.","['Asymptomatic', 'Sexual Spread']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV Information for Providers
 
What are the types of cancer that can be prevented by HPV vaccines?Cervical cancerCancer of the vulvaCancer of the vaginaCancer of the penisCancer of the anusOropharyngeal cancer (cancer in the back of the throat, including the base of the tongue and tonsils)","['Cancer Prevention', 'Prevent Spread']","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV Information for Providers
 
How safe are HPV vaccines?Many studies have been conducted to make sure HPV vaccines were safe before and after the vaccines were licensed. No serious safety concerns have been confirmed in the large safety studies that have been done since HPV vaccine became available in 2006. All vaccines in the United States are required to go through detailed safety testing before they are licensed by FDA. Once in use, they are continually checked for safety and effectiveness.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV Information for Providers
 
HPV Disease RisksCervical cancerCancer of the vagina and vulvaCancers of the head and neckCancers of the anus and penisGenital wartsCan be fatal",['Cause of Cervical Cancer'],"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"HPV Information for Providers
 
HPV Vaccine RisksPain, redness, tenderness at injection siteLow grade fever",['Side Effects'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"HPV Information for Providers
 
Does the HPV vaccine work?Yes. The HPV vaccine was originally studied in about 30,000 girls and young women between 9 and 26 years of age. Studies showed that the vaccine prevented 9 of 10 HPV infections and was completely effective at preventing continued infections and changes in HPV tests for women (Pap smear) that predict cervical cancer. Other studies showed that HPV vaccine prevented HPV infection, anal and genital warts, and anal cancer in men.","['Cancer Prevention', 'Prevent Spread', 'Highly Effective', 'Rec-Children']","[0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0]"
"HPV Information for Providers
 
Can the HPV vaccine cause cancer?No. The HPV vaccine can’t cause HPV or cause cervical cancer or other cancers.",['Side Effects'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"HPV Information for Providers
 
When should children be vaccinated?The HPV vaccine is recommended for preteen boys and girls at 11 or 12 years of age so they are protected before ever being exposed to the virus. HPV vaccine also produces better protection during the preteen years. The vaccine is given in two doses. The second dose is given 6 months after the first dose. If the series is not started until 15 years of age or older, three doses are required. The second dose is given at one or two months after the first dose, then the third dose is given six months after the first dose.","['Number Doses', 'Rec-Children', 'Rec-Male Femle', 'Stance-Recommend']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
"HPV Information for Providers
 
How long does immunity last if you receive all doses of the HPV vaccine?It is not known for sure whether immunity will last a lifetime. First, the vaccine has been studied for more than 10 years. There is no sign that the vaccine does not protect against HPV in people who received the it that long ago. Second, the protection the vaccine gives is stronger than the protection a person may get after having the natural infection. Finally, the HPV vaccine is made much like the hepatitis B vaccine, which can provide protection for at least 25 years.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"For more information about HPV, visit these websites:
 
Utah Cancer Control Program (English)",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"For more information about HPV, visit these websites:
 
Utah Cancer Control Program (Spanish)",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"For more information about HPV, visit these websites:
 
Children’s Hospital of Philadelphia – Vaccine Education Center",['Source Credibility'],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
"For more information about HPV, visit these websites:
 
Health Care ProviderHPVImmunization EvaluationImmunization ReportingMedical Assistant TrainingOrder Educational MaterialsProvider Immunization Record ReleaseProvider Vaccine ResourcesUtah Statistics",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"For more information about HPV, visit these websites:
 
School & Early Childhood ProgramsEducational Modules (for Schools)Immunization Education Module (Exemptions)Immunization ExemptionsImmunization Coverage ReportOrder Educational MaterialsSchool & Early Childhood Program Immunization Reporting SystemSchool & Childcare Immunization Requirements & FlyersUtah Immunization GuidebookUtah School Immunization RecordUtah Immunization Rule",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"For more information about HPV, visit these websites:
 
USIISAbout USIISEHR VendorsLoginParents & IndividualsProvider FacilitiesSchools & Early ChildhoodUsersUSIIS SupportUSIIS Updates",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"For more information about HPV, visit these websites:
 
School & Early Childhood Program Immunization Reporting System",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"For more information about HPV, visit these websites:
 
211Utah - United WaySafe UTUtah Domestic Violence Coalition988 Suicide and Crisis Lifeline",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"For more information about HPV, visit these websites:
 
Health Care ProviderHPVImmunization EvaluationImmunization ReportingMedical Assistant TrainingOrder Educational MaterialsProvider Immunization Record ReleaseProvider Vaccine ResourcesUtah Statistics",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"For more information about HPV, visit these websites:
 
School & Early Childhood ProgramsEducational Modules (for Schools)Immunization Education Module (Exemptions)Immunization ExemptionsImmunization Coverage ReportOrder Educational MaterialsSchool & Early Childhood Program Immunization Reporting SystemSchool & Childcare Immunization Requirements & FlyersUtah Immunization GuidebookUtah School Immunization RecordUtah Immunization Rule",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"For more information about HPV, visit these websites:
 
USIISAbout USIISEHR VendorsLoginParents & IndividualsProvider FacilitiesSchools & Early ChildhoodUsersUSIIS SupportUSIIS Updates",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"For more information about HPV, visit these websites:
 
School & Early Childhood Program Immunization Reporting System",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"For more information about HPV, visit these websites:
 
School & Childcare Immunization Requirements & Flyers",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papillomavirus and Genital Warts
 
20 percent podophyllin antimitotic solution",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papillomavirus and Genital Warts
 
If you are pregnant, you should not use podophyllin or podofilox because they are absorbed by your skin and may cause birth defects in your baby. In addition, you should not use 5-fluorouracil cream if you are expecting.If you have small warts, your health care provider can remove them by one of three methods.",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papillomavirus and Genital Warts
 
If you have large warts that have not responded to other treatment, you may have to have surgery to remove them.Some health care providers use the antiviral drug alpha interferon, which they inject directly into the warts, to treat warts that have returned after removal by traditional means. The drug is expensive, however, and does not reduce the rate that the genital warts return.Although treatments can get rid of the warts, none get rid of the virus. Because the virus is still present in your body, warts often come back after treatment.How can HPV infection be prevented?The only way you can prevent getting an HPV infection is to avoid direct contact with the virus, which is transmitted by skin-to-skin contact. If you or your sexual partner has warts that are visible in the genital area, you should avoid any sexual contact until the warts are treated.Research studies have not confirmed that male latex condoms prevent transmission of HPV, but studies do suggest that using condoms may reduce your risk of developing diseases linked to HPV, such as genital warts and cervical cancer. Unfortunately, many people who don’t have symptoms don’t know that they can spread the virus to an uninfected partner.What are possible complications of HPV and genital warts?","['Asymptomatic', 'No Cure', 'Sexual Spread', 'Cause of Cervical Cancer']","[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papillomavirus and Genital Warts
 
Right to Know Law Requests",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papillomavirus and Genital Warts
 
Contact UsBureaus, Offices and ProgramsSubmit Feedback or File a ComplaintRight to Know Law RequestsOffice of Legal Counsel",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papillomavirus and Genital Warts
 
PAyback: Eligible for a refund?Check Now",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papillomavirus and Genital Warts
 
Right to Know Law Requests",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Page-start
 
Human Papilloma Virus (HPV) Resources",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Human Papilloma Virus (HPV) Resources
 
School and Child Care Immunization",[],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
